,year,month,area,type,kw
186,2020,1,4,3,6150568
187,2020,1,4,4,153988196
188,2020,1,4,5,5753046
189,2020,1,4,6,2762613
190,2020,1,4,7,3183625
191,2020,1,4,0,291282612
192,2020,1,5,1,27750038
193,2020,1,5,2,28452684
194,2020,1,5,3,3414870
195,2020,1,5,4,3087453
196,2020,1,5,5,1125692
197,2020,1,5,6,1184554
198,2020,1,5,7,2496577
199,2020,1,5,0,67511868
200,2021,1,1,1,15703732
201,2021,1,1,2,34485010
202,2021,1,1,3,4099511
203,2021,1,1,4,3081336
204,2021,1,1,5,105532
205,2021,1,1,6,871893
206,2021,1,1,7,1672579
207,2021,1,1,0,60019593
208,2021,1,2,1,41217755
209,2021,1,2,2,72750443
210,2021,1,2,3,2766255
211,2021,1,2,4,26999861
212,2021,1,2,5,589279
213,2021,1,2,6,1263873
214,2021,1,2,7,2057760
215,2021,1,2,0,147645226
216,2021,1,3,1,58988120
217,2021,1,3,2,69610415
218,2021,1,3,3,15035409
219,2021,1,3,4,60836748
220,2021,1,3,5,2668034
221,2021,1,3,6,1917620
222,2021,1,3,7,4052348
223,2021,1,3,0,213108694
224,2021,1,4,1,54968286
225,2021,1,4,2,72084207
226,2021,1,4,3,6657102
227,2021,1,4,4,173642738
228,2021,1,4,5,6512071
229,2021,1,4,6,2629917
230,2021,1,4,7,3104941
231,2021,1,4,0,319599262
232,2021,1,5,1,30046932
233,2021,1,5,2,29534847
234,2021,1,5,3,3797217
235,2021,1,5,4,3156371
236,2021,1,5,5,1273789
237,2021,1,5,6,1201799
238,2021,1,5,7,2480687
239,2021,1,5,0,71491642
240,2022,1,1,1,15798183
241,2022,1,1,2,35175736
242,2022,1,1,3,3990595
243,2022,1,1,4,3340624
244,2022,1,1,5,163059
245,2022,1,1,6,849941
246,2022,1,1,7,1503993
247,2022,1,1,0,60822131
248,2022,1,2,1,39825334
249,2022,1,2,2,73907051
250,2022,1,2,3,2791548
251,2022,1,2,4,26982772
252,2022,1,2,5,536877
253,2022,1,2,6,1229769
254,2022,1,2,7,1906425
255,2022,1,2,0,147179776
256,2022,1,3,1,57965336
257,2022,1,3,2,71266862
258,2022,1,3,3,15312383
259,2022,1,3,4,61042366
260,2022,1,3,5,2654096
261,2022,1,3,6,1827598
262,2022,1,3,7,3667243
263,2022,1,3,0,213735884
264,2022,1,4,1,54307677
265,2022,1,4,2,75111211
266,2022,1,4,3,6862868
267,2022,1,4,4,183027209
268,2022,1,4,5,6459733
269,2022,1,4,6,2701664
270,2022,1,4,7,2765486
271,2022,1,4,0,331235848
272,2022,1,5,1,29860567
273,2022,1,5,2,30547507
274,2022,1,5,3,3914402
275,2022,1,5,4,3845966
276,2022,1,5,5,1291574
277,2022,1,5,6,1162161
278,2022,1,5,7,2287030
279,2022,1,5,0,72909207
280,2016,2,1,1,12091956
281,2016,2,1,2,35017786
282,2016,2,1,3,3826297
283,2016,2,1,4,2750732
284,2016,2,1,5,98113
285,2016,2,1,6,766940
286,2016,2,1,7,2832587
287,2016,2,1,0,57384411
288,2016,2,2,1,38051496
289,2016,2,2,2,72251281
290,2016,2,2,3,2084485
291,2016,2,2,4,24299379
292,2016,2,2,5,648007
293,2016,2,2,6,1398042
294,2016,2,2,7,3419162
295,2016,2,2,0,142151852
296,2016,2,3,1,52907654
297,2016,2,3,2,66788996
298,2016,2,3,3,11908488
299,2016,2,3,4,56640341
300,2016,2,3,5,2558787
