,month,date,customer,demand_max(Wh),usage(kWh)
145,5,26,667470,"42,490,999.99","8,768,260.31"
146,5,27,667618,"41,699,670.74","9,099,135.42"
147,5,28,667625,"133,946,276.21","13,406,684.80"
148,5,29,667556,"50,577,395.35","9,745,642.88"
149,5,30,668276,"68,822,908.97","10,266,142.51"
150,5,31,668191,"61,456,926.48","10,942,494.36"
151,6,01,668291,"43,770,318.43","10,171,579.92"
152,6,02,668041,"72,243,554.98","11,440,269.04"
153,6,03,668080,"77,335,606.18","11,319,210.75"
154,6,04,668269,"48,445,498.27","10,609,431.10"
155,6,05,668516,"69,333,106.34","11,782,179.27"
156,6,06,668849,"73,601,544.48","11,143,117.53"
157,6,07,668849,"59,495,383.82","11,297,349.15"
158,6,08,668849,"47,904,907.37","10,003,843.15"
159,6,09,744440,"69,644,321.81","13,430,813.50"
160,6,10,668850,"72,067,114.15","12,116,275.58"
161,6,11,669017,"75,825,506.81","13,752,441.58"
162,6,12,669063,"65,446,592.54","11,663,369.59"
163,6,13,669327,"70,000,597.51","10,547,766.46"
164,6,14,669060,"34,725,142.18","9,374,466.34"
165,6,15,669378,"58,291,973.45","12,488,712.08"
166,6,16,669475,"199,619,645.21","14,184,481.22"
167,6,17,670094,"83,746,260.65","14,118,898.70"
168,6,18,670287,"60,816,768.82","10,836,706.61"
169,6,19,670700,"63,979,975.99","11,877,432.70"
170,6,20,671346,"74,757,811.99","12,589,555.05"
171,6,21,671380,"103,827,643.63","13,433,525.30"
172,6,22,671569,"89,875,804.99","15,306,358.32"
173,6,23,671992,"78,960,331.49","14,317,723.49"
174,6,24,672116,"95,089,127.71","14,231,694.34"
175,6,25,673310,"76,446,931.66","10,711,804.00"
176,6,26,673736,"84,653,734.03","16,580,475.26"
177,6,27,673698,"111,978,053.86","15,544,938.39"
178,6,28,673776,"192,497,183.14","12,040,564.72"
179,6,29,673776,"60,948,337.87","12,071,621.06"
180,6,30,673776,"53,660,414.69","12,642,546.97"
181,7,01,673509,"148,136,549.69","14,798,273.28"
182,7,02,673450,"54,033,560.71","12,404,048.85"
183,7,03,673622,"61,537,154.50","10,778,514.50"
184,7,04,673581,"406,263,341.47","15,989,710.92"
185,7,05,673334,"51,015,877.87","11,935,560.80"
186,7,06,672730,"50,906,291.81","10,499,231.76"
187,7,07,672731,"53,395,254.96","11,764,084.23"
188,7,08,673744,"66,420,723.98","13,049,646.04"
189,7,09,673394,"97,507,069.56","12,959,526.23"
190,7,10,673551,"66,382,509.58","13,101,207.22"
191,7,11,673388,"53,454,142.10","12,807,565.43"
192,7,12,673571,"50,518,010.11","12,107,383.07"
193,7,13,673211,"115,262,442.50","16,012,656.61"
194,7,14,673236,"47,453,105.02","11,702,399.51"
195,7,15,672764,"102,445,967.47","14,114,530.65"
196,7,16,672783,"101,161,756.80","13,290,844.74"
197,7,17,672347,"91,590,125.59","12,186,995.82"
198,7,18,672534,"64,355,357.26","12,079,098.95"
199,7,19,672344,"77,499,564.05","14,344,592.27"
200,7,20,672336,"48,673,918.32","13,386,126.03"
201,7,21,672130,"56,336,968.94","13,905,745.44"
202,7,22,671878,"77,719,039.37","11,771,335.52"
203,7,23,671722,"52,703,178.94","12,666,306.97"
204,7,24,671728,"54,247,104.98","14,345,261.45"
205,7,25,671778,"52,866,380.33","12,481,385.42"
206,7,26,671782,"57,787,325.57","13,243,836.18"
207,7,27,671784,"50,282,801.06","13,662,594.69"
208,7,28,671873,"60,460,819.18","14,356,534.27"
209,7,29,671975,"48,548,861.64","13,408,822.34"
210,7,30,672183,"55,504,163.30","13,378,938.42"
211,7,31,672417,"60,166,798.94","14,285,401.19"
212,8,01,672669,"59,741,227.54","13,897,061.90"
213,8,02,672685,"51,826,734.02","13,395,144.34"
214,8,03,672716,"54,468,286.03","13,773,789.27"
215,8,04,672872,"77,999,062.82","15,033,661.90"
216,8,05,673149,"65,096,323.58","16,194,826.47"
217,8,06,673557,"67,710,076.06","14,338,019.24"
218,8,07,673923,"55,171,190.83","13,151,978.22"
219,8,08,674401,"49,398,400.54","12,719,199.07"
220,8,09,674409,"79,244,218.18","16,930,617.66"
221,8,10,674442,"49,335,258.82","12,539,401.13"
222,8,11,674909,"51,289,804.66","12,537,573.79"
223,8,12,675507,"52,054,086.41","13,431,151.24"
224,8,13,676046,"43,472,328.50","10,473,601.31"
225,8,14,676046,"42,814,423.10","9,475,584.51"
