,year,month,day,temp,cloud,rainfall_total,Humidity_mean,solar,customer,wh,kwh
75,2021,3,17,9.7,1.8,0,53.6,21.09,673215,47648403.19,10817540.15
76,2021,3,18,11.7,2.1,0,62.4,21.93,743088,98972105.86,13181140.25
77,2021,3,19,13.9,7.4,0,60.3,18.9,672889,47681567.11,11009897.27
78,2021,3,20,9.7,10,11.1,94.6,3.75,673342,46496118.31,10889998.51
79,2021,3,21,6.8,8.8,0,63,17.19,673207,297225969.1,13515733.57
80,2021,3,22,7.5,1.3,0,47.8,23.98,673204,48079008.07,11214475.42
81,2021,3,23,10.1,0,0,61.4,22.66,672897,49606596.36,10853492.22
82,2021,3,24,11.8,5.4,0,56.3,15.14,672521,39582177.24,10539567.61
83,2021,3,25,13.3,0.3,0,59.9,23.73,672187,54497262.89,10364877.55
84,2021,3,26,14.8,3.6,0,46.9,21.84,671898,36536516.59,10167026.07
85,2021,3,27,14.7,9.4,38.5,83.6,4.23,671557,46205718.36,10353338.54
86,2021,3,28,12.4,6.8,0.5,85.6,13.85,671576,43753198.32,9702953.98
87,2021,3,29,13.1,5.1,0,53,18.87,671514,34130760.31,9692347.1
88,2021,3,30,14,2.8,0,33,22.3,671236,34675183.94,9564423.46
89,2021,3,31,15.3,5.4,0,43.6,21.86,670933,36438230.18,10209007.4
90,2021,4,1,16.7,8.1,0,36.6,15.06,670723,36230025.43,9685761.6
91,2021,4,2,18.7,8,0,44.3,13.43,670585,96378541.61,11774565.78
92,2021,4,3,16.8,10,11.6,87.8,3.49,670583,34710989.62,10258469.1
93,2021,4,4,11,9.6,3.3,97.9,3.6,670518,34834485.38,9737391.71
94,2021,4,5,12.4,0,0,56.3,26.75,670515,36578580.7,10156031.24
95,2021,4,6,12.4,2.8,0,52.4,22.13,670367,45405122.33,10200909.49
96,2021,4,7,14.1,1,0,44,26.05,670032,2280364441,33619790.7
97,2021,4,8,12.9,2.5,0,40.9,26.36,669794,44474825.33,9589594.95
98,2021,4,9,13.3,2.6,0,41,24.85,669617,34332553.01,9418898.93
99,2021,4,10,13.6,2.1,0,54.9,23.83,669477,68070330.77,9673208.61
100,2021,4,11,15.6,2.4,0,38.9,26,669452,85496908.85,9712601.53
101,2021,4,12,13.9,10,16.9,78.3,4.33,669454,41699200.99,10530207.72
102,2021,4,13,10,6.1,0.3,76.4,17.96,669454,44269330.3,9339219.42
103,2021,4,14,9.4,2,0,41.3,27.8,669079,72972997.7,9924175.74
104,2021,4,15,11.8,3.4,0,36.6,24.84,669182,173006213.4,14460832.04
