,cloud,year,month,day,date,temp,rainfall_total,Humidity_mean,solar
87,5.1,2021,3,29,2021-03-29,13.1,0.0,53.0,18.87
88,2.8,2021,3,30,2021-03-30,14.0,0.0,33.0,22.3
89,5.4,2021,3,31,2021-03-31,15.3,0.0,43.6,21.86
90,8.1,2021,4,1,2021-04-01,16.7,0.0,36.6,15.06
91,8.0,2021,4,2,2021-04-02,18.7,0.0,44.3,13.43
92,10.0,2021,4,3,2021-04-03,16.8,11.6,87.8,3.49
93,9.6,2021,4,4,2021-04-04,11.0,3.3,97.9,3.6
94,0.0,2021,4,5,2021-04-05,12.4,0.0,56.3,26.75
95,2.8,2021,4,6,2021-04-06,12.4,0.0,52.4,22.13
96,1.0,2021,4,7,2021-04-07,14.1,0.0,44.0,26.05
97,2.5,2021,4,8,2021-04-08,12.9,0.0,40.9,26.36
98,2.6,2021,4,9,2021-04-09,13.3,0.0,41.0,24.85
99,2.1,2021,4,10,2021-04-10,13.6,0.0,54.9,23.83
100,2.4,2021,4,11,2021-04-11,15.6,0.0,38.9,26.0
101,10.0,2021,4,12,2021-04-12,13.9,16.9,78.3,4.33
102,6.1,2021,4,13,2021-04-13,10.0,0.3,76.4,17.96
103,2.0,2021,4,14,2021-04-14,9.4,0.0,41.3,27.8
104,3.4,2021,4,15,2021-04-15,11.8,0.0,36.6,24.84
105,9.0,2021,4,16,2021-04-16,13.1,0.0,67.5,10.87
106,2.8,2021,4,17,2021-04-17,11.3,0.0,55.6,25.17
107,0.9,2021,4,18,2021-04-18,11.0,0.0,49.4,27.94
108,0.4,2021,4,19,2021-04-19,12.8,0.0,53.4,28.14
109,1.9,2021,4,20,2021-04-20,15.9,0.0,48.9,27.0
110,8.1,2021,4,21,2021-04-21,19.2,0.0,37.9,19.37
111,9.5,2021,4,22,2021-04-22,19.7,0.0,36.5,10.47
112,7.6,2021,4,23,2021-04-23,21.3,0.0,28.4,21.81
113,5.5,2021,4,24,2021-04-24,19.1,0.0,33.5,26.14
114,3.1,2021,4,25,2021-04-25,17.8,0.0,51.1,22.24
115,4.8,2021,4,26,2021-04-26,16.5,0.0,50.6,26.52
116,8.6,2021,4,27,2021-04-27,16.6,0.0,53.8,15.23
117,8.3,2021,4,28,2021-04-28,17.9,0.0,53.8,21.43
118,6.1,2021,4,29,2021-04-29,17.4,1.8,47.5,26.41
119,6.1,2021,4,30,2021-04-30,14.7,0.3,59.8,27.07
120,7.6,2021,5,1,2021-05-01,10.6,12.8,78.8,11.22
121,3.9,2021,5,2,2021-05-02,12.3,0.0,69.5,20.18
122,2.9,2021,5,3,2021-05-03,15.6,0.0,61.9,28.3
123,9.8,2021,5,4,2021-05-04,17.4,13.6,87.1,7.68
124,2.9,2021,5,5,2021-05-05,15.0,0.0,57.1,29.19
125,6.1,2021,5,6,2021-05-06,16.0,0.0,43.6,22.42
126,4.8,2021,5,7,2021-05-07,16.3,0.0,49.9,14.29
127,3.3,2021,5,8,2021-05-08,16.2,0.0,58.9,27.0
128,1.6,2021,5,9,2021-05-09,17.5,0.0,43.8,29.04
129,9.5,2021,5,10,2021-05-10,18.3,0.0,39.8,11.37
130,9.3,2021,5,11,2021-05-11,19.4,0.0,55.8,13.85
131,4.9,2021,5,12,2021-05-12,22.2,0.0,48.5,23.31
132,2.8,2021,5,13,2021-05-13,22.5,0.0,62.8,27.09
133,8.5,2021,5,14,2021-05-14,23.0,0.0,66.8,20.85
