瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
156,堡林,2021-01-01,-.6,0,83.1,9,7.3
156,堡林,2021-01-02,-.3,.5,67.8,12.54,3.8
156,堡林,2021-01-03,-.6,,54.6,10.37,7.3
156,堡林,2021-01-04,1.2,,71.8,10.07,3.1
156,堡林,2021-01-05,-.2,0,64.9,7.74,8
156,堡林,2021-01-06,-2.4,1.2,65.9,10.95,7.5
156,堡林,2021-01-07,-8.4,2,69.1,5.16,8.6
156,堡林,2021-01-08,-9.9,,55.8,12.15,2.8
156,堡林,2021-01-09,-7.6,0,52.6,13.02,1.9
156,堡林,2021-01-10,-5.1,0,74.3,9.5,4.4
156,堡林,2021-01-11,-2.1,,78.6,5.82,8.1
156,堡林,2021-01-12,-.5,0,80.4,10.78,5.5
156,堡林,2021-01-13,4.3,,77.5,11.74,3.4
156,堡林,2021-01-14,6.6,,76.8,12.16,.1
156,堡林,2021-01-15,7.9,,83.9,7.46,8
156,堡林,2021-01-16,.3,,60.9,7.43,8.3
156,堡林,2021-01-17,-1.5,0,60.4,13.86,4.6
156,堡林,2021-01-18,.6,4,77.1,5.69,8
156,堡林,2021-01-19,-1.3,,46,14.39,0
156,堡林,2021-01-20,3.2,,51.1,13.68,2.6
156,堡林,2021-01-21,7.6,6.8,81.4,5.47,8.3
156,堡林,2021-01-22,9.4,2.9,97.9,4.14,9.9
156,堡林,2021-01-23,9.3,4,96.8,3.29,10
156,堡林,2021-01-24,8.8,,70.5,12.93,3.6
156,堡林,2021-01-25,8.8,,66.8,13.75,5.1
156,堡林,2021-01-26,6.5,8.7,90.6,3.79,9.8
156,堡林,2021-01-27,5.1,,41.8,14.25,4.9
156,堡林,2021-01-28,.7,1,71.8,6.84,7.9
156,堡林,2021-01-29,-3.2,0,63.8,15.34,2.5
156,堡林,2021-01-30,1.8,.1,74,9.81,4.6
156,堡林,2021-01-31,6.2,1.8,77.6,11.52,6
156,堡林,2021-02-01,8.3,11.6,90.6,4.36,9.1
156,堡林,2021-02-02,-1,,45.6,16.45,.6
156,堡林,2021-02-03,.3,0,50.3,16.03,2
156,堡林,2021-02-04,1.6,1.1,49.1,16.67,1.3
156,堡林,2021-02-05,2.8,,41,11.02,6.1
156,堡林,2021-02-06,5.7,,71.4,6.55,6.9
156,堡林,2021-02-07,7.4,,65.8,14.14,4
156,堡林,2021-02-08,.3,,44.8,17.29,0
156,堡林,2021-02-09,1.7,,40.1,17.32,0
156,堡林,2021-02-10,4,,58.1,15.93,2
156,堡林,2021-02-11,6.4,,63.6,10.21,8.5
156,堡林,2021-02-12,9.3,,47,15.04,6.1
156,堡林,2021-02-13,10.6,,41,16.83,.8
156,堡林,2021-02-14,10.9,0,55.1,7.98,9.1
156,堡林,2021-02-15,3.9,.6,65.9,7.26,8.9
156,堡林,2021-02-16,.4,.9,60.5,13.96,4.5
156,堡林,2021-02-17,-4.5,1.5,83.4,6.82,9.6
156,堡林,2021-02-18,-2.2,.2,69.1,9.52,8.6
156,堡林,2021-02-19,3.8,,65.4,18.39,1.1
156,堡林,2021-02-20,10.6,,74.8,16.01,0
156,堡林,2021-02-21,13,,65,17.9,0
156,堡林,2021-02-22,10.5,,62.1,16.61,0
156,堡林,2021-02-23,3.6,,38.5,16.24,2.8
156,堡林,2021-02-24,3.9,,42,5.49,7
156,堡林,2021-02-25,4.7,14.8,86.1,2.83,9.6
156,堡林,2021-02-26,9.7,0,59.1,15.45,8.3
156,堡林,2021-02-27,9.4,,46,17.92,6.3
156,堡林,2021-02-28,8.9,.4,70.9,6.06,9.8
156,堡林,2021-03-01,11.5,39.7,95.9,3.51,9.4
156,堡林,2021-03-02,4.7,,74.8,15.61,5.1
156,堡林,2021-03-03,6.2,,64.9,18.39,4.5
156,堡林,2021-03-04,6.9,8.9,85.8,5.31,9.5
156,堡林,2021-03-05,10.7,,71.5,19.82,3.8
156,堡林,2021-03-06,10.4,,67.6,14.83,7
156,堡林,2021-03-07,8.7,,69.9,12.78,7.6
156,堡林,2021-03-08,8.6,,66.1,19.79,4.6
156,堡林,2021-03-09,8.6,,48.6,18.48,5.5
156,堡林,2021-03-10,10.6,,45.1,20.71,0
156,堡林,2021-03-11,11.8,1.6,58.5,17.85,7.9
156,堡林,2021-03-12,9.2,16.2,93.9,6.05,8
156,堡林,2021-03-13,9.6,,74.8,20.62,.6
156,堡林,2021-03-14,9.8,,67.5,20.73,.4
156,堡林,2021-03-15,12.3,2.4,69.3,17.43,5.8
156,堡林,2021-03-16,11.3,3.5,64.8,21.36,3.8
156,堡林,2021-03-17,9.7,,53.6,21.09,1.8
156,堡林,2021-03-18,11.7,,62.4,21.93,2.1
156,堡林,2021-03-19,13.9,,60.3,18.9,7.4
156,堡林,2021-03-20,9.7,11.1,94.6,3.75,10
156,堡林,2021-03-21,6.8,,63,17.19,8.8
156,堡林,2021-03-22,7.5,,47.8,23.98,1.3
156,堡林,2021-03-23,10.1,,61.4,22.66,0
156,堡林,2021-03-24,11.8,,56.3,15.14,5.4
156,堡林,2021-03-25,13.3,,59.9,23.73,.3
156,堡林,2021-03-26,14.8,,46.9,21.84,3.6
156,堡林,2021-03-27,14.7,38.5,83.6,4.23,9.4
156,堡林,2021-03-28,12.4,.5,85.6,13.85,6.8
156,堡林,2021-03-29,13.1,,53,18.87,5.1
156,堡林,2021-03-30,14,,33,22.3,2.8
156,堡林,2021-03-31,15.3,,43.6,21.86,5.4
156,堡林,2021-04-01,16.7,,36.6,15.06,8.1
156,堡林,2021-04-02,18.7,0,44.3,13.43,8
156,堡林,2021-04-03,16.8,11.6,87.8,3.49,10
156,堡林,2021-04-04,11,3.3,97.9,3.6,9.6
156,堡林,2021-04-05,12.4,,56.3,26.75,0
156,堡林,2021-04-06,12.4,,52.4,22.13,2.8
156,堡林,2021-04-07,14.1,,44,26.05,1
156,堡林,2021-04-08,12.9,,40.9,26.36,2.5
156,堡林,2021-04-09,13.3,,41,24.85,2.6
156,堡林,2021-04-10,13.6,,54.9,23.83,2.1
156,堡林,2021-04-11,15.6,,38.9,26,2.4
156,堡林,2021-04-12,13.9,16.9,78.3,4.33,10
156,堡林,2021-04-13,10,.3,76.4,17.96,6.1
156,堡林,2021-04-14,9.4,,41.3,27.8,2
156,堡林,2021-04-15,11.8,,36.6,24.84,3.4
156,堡林,2021-04-16,13.1,0,67.5,10.87,9
156,堡林,2021-04-17,11.3,,55.6,25.17,2.8
156,堡林,2021-04-18,11,,49.4,27.94,.9
156,堡林,2021-04-19,12.8,,53.4,28.14,.4
156,堡林,2021-04-20,15.9,,48.9,27,1.9
156,堡林,2021-04-21,19.2,,37.9,19.37,8.1
156,堡林,2021-04-22,19.7,,36.5,10.47,9.5
156,堡林,2021-04-23,21.3,,28.4,21.81,7.6
156,堡林,2021-04-24,19.1,,33.5,26.14,5.5
156,堡林,2021-04-25,17.8,,51.1,22.24,3.1
156,堡林,2021-04-26,16.5,,50.6,26.52,4.8
156,堡林,2021-04-27,16.6,0,53.8,15.23,8.6
156,堡林,2021-04-28,17.9,,53.8,21.43,8.3
156,堡林,2021-04-29,17.4,1.8,47.5,26.41,6.1
156,堡林,2021-04-30,14.7,.3,59.8,27.07,6.1
156,堡林,2021-05-01,10.6,12.8,78.8,11.22,7.6
156,堡林,2021-05-02,12.3,,69.5,20.18,3.9
156,堡林,2021-05-03,15.6,,61.9,28.3,2.9
156,堡林,2021-05-04,17.4,13.6,87.1,7.68,9.8
156,堡林,2021-05-05,15,0,57.1,29.19,2.9
156,堡林,2021-05-06,16,,43.6,22.42,6.1
156,堡林,2021-05-07,16.3,,49.9,14.29,4.8
156,堡林,2021-05-08,16.2,,58.9,27,3.3
156,堡林,2021-05-09,17.5,,43.8,29.04,1.6
156,堡林,2021-05-10,18.3,0,39.8,11.37,9.5
156,堡林,2021-05-11,19.4,,55.8,13.85,9.3
156,堡林,2021-05-12,22.2,,48.5,23.31,4.9
156,堡林,2021-05-13,22.5,,62.8,27.09,2.8
156,堡林,2021-05-14,23,0,66.8,20.85,8.5
156,堡林,2021-05-15,21.6,30.2,96.1,6.27,10
156,堡林,2021-05-16,20.8,59.6,99,5.31,10
156,堡林,2021-05-17,15.9,1.4,98.1,6.29,8.4
156,堡林,2021-05-18,18.1,,82.1,20.51,7.5
156,堡林,2021-05-19,21.2,,63.3,26.71,6.4
156,堡林,2021-05-20,16.5,11.2,93.4,5.17,9.9
156,堡林,2021-05-21,16.4,.2,82.1,19.07,6.5
156,堡林,2021-05-22,19.3,,67.3,29.55,1.5
156,堡林,2021-05-23,22,0,66.4,25.99,5.9
156,堡林,2021-05-24,19.9,.4,68.9,25.07,5
156,堡林,2021-05-25,17.6,0,62.1,24.88,5.4
156,堡林,2021-05-26,18.3,,59.8,15.72,10
156,堡林,2021-05-27,16.8,0,84.9,14.99,5.9
156,堡林,2021-05-28,17.9,10,80.6,19.25,4.1
156,堡林,2021-05-29,19.4,,68.8,29.2,1.1
156,堡林,2021-05-30,22.1,0,49.1,29.57,2.4
156,堡林,2021-05-31,23.7,,43,28.51,3
156,堡林,2021-06-01,23.5,,51.3,27.42,4
156,堡林,2021-06-02,23.4,,61,21.53,6.6
156,堡林,2021-06-03,19.8,22.7,92.6,5.13,9.5
156,堡林,2021-06-04,20,1.4,67.1,29.77,4.6
156,堡林,2021-06-05,20.9,,81.1,22.66,2.9
156,堡林,2021-06-06,22.8,0,61.6,25.15,1.6
156,堡林,2021-06-07,24.1,,56.3,25.55,4.1
156,堡林,2021-06-08,25.5,,57.5,28.42,3.8
156,堡林,2021-06-09,26,,61.5,28.61,3.3
156,堡林,2021-06-10,23.6,9.7,70.8,11.99,9.3
156,堡林,2021-06-11,24.3,27.4,84.4,23.36,7
156,堡林,2021-06-12,25.1,,83.4,21.84,7.4
156,堡林,2021-06-13,23.9,,83.8,25.61,6
156,堡林,2021-06-14,23.4,,82.3,20.03,7.5
156,堡林,2021-06-15,20.9,21.2,93.8,5.95,9.6
156,堡林,2021-06-16,23.4,,76.9,24.6,7.1
156,堡林,2021-06-17,22.4,.9,82.9,10.65,8.6
156,堡林,2021-06-18,21.3,4.1,97.4,,9.6
156,堡林,2021-06-19,23.1,,80,24.58,4.6
156,堡林,2021-06-20,24,,64.8,27.47,5.8
156,堡林,2021-06-21,25.1,,55.4,30.89,1.9
156,堡林,2021-06-22,24.3,,70,25.03,3.6
156,堡林,2021-06-23,23,.2,81.1,15.77,6.8
156,堡林,2021-06-24,23,0,79.6,16.34,7.1
156,堡林,2021-06-25,23.4,6.4,81.1,18.37,6.8
156,堡林,2021-06-26,23.9,.3,79.3,17.02,8.1
156,堡林,2021-06-27,24.7,.9,76.4,19.62,5.1
156,堡林,2021-06-28,22.8,18.8,91.3,15.34,5.4
156,堡林,2021-06-29,23.2,1.1,88.3,18.5,6.9
156,堡林,2021-06-30,23.9,3,84.6,16.01,7
156,堡林,2021-07-01,25.7,,77.6,23.86,4.8
156,堡林,2021-07-02,26.1,0,81.8,17.21,7.1
156,堡林,2021-07-03,23.7,27,93.9,5.56,9
156,堡林,2021-07-04,23.1,1.6,96.6,8.93,9.6
156,堡林,2021-07-05,21.9,29.1,98.6,5.21,10
156,堡林,2021-07-06,23.1,119.5,99,3.27,10
156,堡林,2021-07-07,25.2,17.9,99,7,10
156,堡林,2021-07-08,25.6,.9,96.9,11.66,9.5
156,堡林,2021-07-09,25.8,4.2,94.4,17.77,7.5
156,堡林,2021-07-10,26.4,,90.9,19.24,5.6
156,堡林,2021-07-11,27.2,0,90.5,17.66,6.1
156,堡林,2021-07-12,28.1,,87.5,21.16,6.5
156,堡林,2021-07-13,28.4,,81.5,22.3,5.6
156,堡林,2021-07-14,28.2,,84.8,16.15,7.9
156,堡林,2021-07-15,28.7,,78.4,26.02,6
156,堡林,2021-07-16,25.9,1.4,92.5,18,5.4
156,堡林,2021-07-17,26.2,.2,82.1,23.31,5.6
156,堡林,2021-07-18,27.3,,77.8,22.12,5.9
156,堡林,2021-07-19,27.8,,78.4,20.79,6
156,堡林,2021-07-20,27.7,0,81.5,17.52,7.5
156,堡林,2021-07-21,29,,74.6,26.22,3.8
156,堡林,2021-07-22,28.7,,70.5,23.56,4.8
156,堡林,2021-07-23,28.7,,70.9,22.38,6.8
156,堡林,2021-07-24,29.1,,68.3,22.86,7.9
156,堡林,2021-07-25,29,,61.5,22.94,6.6
156,堡林,2021-07-26,28.3,,67.3,20.25,5.1
156,堡林,2021-07-27,28.3,,67.9,19.96,1.8
156,堡林,2021-07-28,28.9,,71.9,19.15,4.4
156,堡林,2021-07-29,29,,72.9,20.75,4.9
156,堡林,2021-07-30,28.1,.4,77.5,20.07,6.3
156,堡林,2021-07-31,29.1,25.4,80.1,23.36,6.3
156,堡林,2021-08-01,28.2,1,86.3,16.19,8.6
156,堡林,2021-08-02,26.9,45.3,96.1,12.71,9.3
156,堡林,2021-08-03,27,9.9,90.5,17.07,7
156,堡林,2021-08-04,28.6,0,79.5,23.1,3.4
156,堡林,2021-08-05,28.8,,79.3,18.02,4.1
156,堡林,2021-08-06,26.6,59.4,85,24.15,3.8
156,堡林,2021-08-07,27.8,,79.1,25.37,4.8
156,堡林,2021-08-08,26,5,91,10.24,7.6
156,堡林,2021-08-09,27.2,,81.3,25.99,5
156,堡林,2021-08-10,27.6,,80.6,20.12,7
156,堡林,2021-08-11,26.5,0,83.1,17.82,5.3
156,堡林,2021-08-12,26.3,.6,84.8,14.3,7.1
156,堡林,2021-08-13,25.6,4,90,11.44,9.3
156,堡林,2021-08-14,24.3,12.8,88.9,15.5,7.9
156,堡林,2021-08-15,24.7,13.7,87.5,16.53,7.3
156,堡林,2021-08-16,25.7,,79.5,,4.6
156,堡林,2021-08-17,25.5,17.2,73.9,24.47,7
156,堡林,2021-08-18,22.7,22.7,93.4,13.72,6.9
156,堡林,2021-08-19,22.7,19.2,90.6,15.44,6.4
156,堡林,2021-08-20,24.8,,84,21.48,3.1
156,堡林,2021-08-21,24.5,19.9,98,3.8,9
156,堡林,2021-08-22,25.8,,89.5,18.26,7.9
156,堡林,2021-08-23,24.1,30.6,98.8,0,9.9
156,堡林,2021-08-24,25.2,29.6,98.8,0,9.4
156,堡林,2021-08-25,25.2,10.7,97.9,8.42,9.8
156,堡林,2021-08-26,26.3,,82.4,21.14,5.9
156,堡林,2021-08-27,23.5,10.6,98.9,7.63,8.3
156,堡林,2021-08-28,25.1,0,84.3,19.74,6.1
156,堡林,2021-08-29,25.5,24.6,97.8,9.2,9.5
156,堡林,2021-08-30,25.5,1.9,91,16.25,7.9
156,堡林,2021-08-31,26.5,,89.5,18.43,7
156,堡林,2021-09-01,24.5,45.7,97.4,5.5,9.4
156,堡林,2021-09-02,21.6,3.4,98.4,5.69,9.5
156,堡林,2021-09-03,22.4,1.3,94.1,14.17,8.8
156,堡林,2021-09-04,23.4,0,88.6,13.17,8.8
156,堡林,2021-09-05,21.6,1.1,91.1,5.99,10
156,堡林,2021-09-06,21.2,2.1,93.3,6.07,9.9
156,堡林,2021-09-07,22.4,2.4,94.4,6.73,9.3
156,堡林,2021-09-08,22.7,0,84.4,19.76,5.9
156,堡林,2021-09-09,23.1,,84.5,16.68,7.8
156,堡林,2021-09-10,23.1,0,93,7.33,8.5
156,堡林,2021-09-11,24.9,,83.9,20.67,2.9
156,堡林,2021-09-12,24.8,,83.3,18.2,7
156,堡林,2021-09-13,24.2,,69.8,15.62,8.8
156,堡林,2021-09-14,22.5,2.5,85.1,7.06,9.3
156,堡林,2021-09-15,24.1,,64.1,22.98,5
156,堡林,2021-09-16,21.3,2,82.5,9.8,7.8
156,堡林,2021-09-17,23.2,3.2,86.5,15.23,7.6
